InstanceId,Name,Schedule,FileBackup,ApplicationTier,Environment,Application,ContactPreference,Purpose,Validated,TechnicalOwner,CorpInfoMSP:TakeNightlySnapshot
i-081bde6a3be84b799 (Irvine815),Irvine815,?,Yes,Application,OperationalQualification,RFSmart,Email,?,No,Usama Muzaffar,Yes
i-074a0044d6ba592cd (Irvine819),Irvine819,?,Yes,Application,Production,RFSmart,Phone,?,No,Usama Muzaffar,Yes
i-059166be7931a3f46 (IRVLBLWIP01),IRVLBLWIP01,?,No,Application,Development,WIP Labeling,Email,?,No,Usama Muzaffar,Yes
i-0172170d254ac10b9 (AWOR-TSPLMVDI01),AWOR-TSPLMVDI01,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-019f80ede64427236 (AWOR-TSPLMVDI02),AWOR-TSPLMVDI02,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-05f8187c3ce91f27a (AWOR-TSPLMVDI03),AWOR-TSPLMVDI03,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-06e76436f4f07ed8b (AWOR-TSPLMVDI04),AWOR-TSPLMVDI04,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-07a077ea07e3893c0 (AWOR-TSPLMVDI05),AWOR-TSPLMVDI05,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-07a4582e34b384c79 (AWOR-TSPLMVDI06),AWOR-TSPLMVDI06,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-09d6608374e99db90 (AWOR-TSPLMVDI07),AWOR-TSPLMVDI07,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-0bb81f4fc26994e2c (AWOR-TSPLMVDI08),AWOR-TSPLMVDI08,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-0ecda9458f1ff3953 (AWOR-TSPLMVDI09),AWOR-TSPLMVDI09,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-0f7b8bb5459fbf074 (AWOR-TSPLMVDI10),AWOR-TSPLMVDI10,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-000ea53584bc2d58b (AWOR-TSPLMVDI11),AWOR-TSPLMVDI11,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-00855aad2d60b90a9 (AWOR-TSPLMVDI12),AWOR-TSPLMVDI12,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-022976b45b04ae359 (AWOR-TSPLMVDI13),AWOR-TSPLMVDI13,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-03f0d17e33e8f7508 (AWOR-TSPLMVDI14),AWOR-TSPLMVDI14,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-04de9267d533008f3 (AWOR-TSPLMVDI15),AWOR-TSPLMVDI15,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-069dd800bfb1f1ba4 (AWOR-TSPLMVDI16),AWOR-TSPLMVDI16,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-07293f4de7e03c0b7 (AWOR-TSPLMVDI17),AWOR-TSPLMVDI17,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-0c7802872467c082d (AWOR-TSPLMVDI18),AWOR-TSPLMVDI18,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-0a52a8708973edbb0 (AWOR-TSPLMVDI19),AWOR-TSPLMVDI19,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-0aae71075245f1882 (AWOR-TSPLMVDI20),AWOR-TSPLMVDI20,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-0c211befa7898ebbf (AWOR-TSPLMVDI21),AWOR-TSPLMVDI21,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-086c1dbc20626ae0d (AWOR-TSPLMVDI22),AWOR-TSPLMVDI22,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-005b73dfe0b7dca0d (AWOR-TSPLMVDI23),AWOR-TSPLMVDI23,AlwaysOn,No,Application,Training,PLM|Teamcenter|Ignite,Email,Ignite Rich Client for Training,No,Vivek Ratnaswamy,Yes
i-04911e6176573d18f (PLMTRN-RD01 delete after 10/15/18),PLMTRN-RD01 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-09bb3a94d9fdf2374 (PLMTRN-RD02 delete after 10/15/18),PLMTRN-RD02 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-0c83ab92bb6c78389 (PLMTRN-RD03 delete after 10/15/18),PLMTRN-RD03 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-0c998924e0b8dca79 (PLMTRN-RD04 delete after 10/15/18),PLMTRN-RD04 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-0d2b323f246adee7c (PLMTRN-RD05 delete after 10/15/18),PLMTRN-RD05 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-0c24c45120141af5f (PLMTRN-RD31 delete after 10/15/18),PLMTRN-RD31 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-05662e36b49d779b7 (PLMTRN-RD32 delete after 10/15/18),PLMTRN-RD32 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-0bbfa9e36cab4cd9b (PLMTRN-RD34 delete after 10/15/18),PLMTRN-RD34 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-091d6df99355506a2 (PLMTRN-RD35 delete after 10/15/18),PLMTRN-RD35 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-0a34db3993ab8a827 (PLMTRN-RD39 delete after 10/15/18),PLMTRN-RD39 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-051e382588006a120 (PLMTRN-RD40 delete after 10/15/18),PLMTRN-RD40 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-08ab17cda42a5c15f (PLMTRN-RD46 delete after 10/15/18),PLMTRN-RD46 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-0f99465c43b1fba52 (PLMTRN-RD52 delete after 10/15/18),PLMTRN-RD52 delete after 10/15/18,?,No,,Training,,Email,?,No,Vivek Ratnaswamy,Yes
i-c95d8d96 (AWORDVPLMAPP01),AWORDVPLMAPP01,AlwaysOn,No,Application,Development,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-0b247a8a48089f3db (AWORDVPLMAPP02),AWORDVPLMAPP02,AlwaysOn,No,Application,Development,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,No
i-9eea39c1 (AWORDVPLMAPP03),AWORDVPLMAPP03,AlwaysOn,No,Application,Development,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-5a944905 (AWORDVPLMAPP04),AWORDVPLMAPP04,AlwaysOn,No,Application,Development,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-2162b27e (AWORDVPLMAPP05),AWORDVPLMAPP05,AlwaysOn,No,Application,Development,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-7563b32a (AWORDVPLMAPP06),AWORDVPLMAPP06,AlwaysOn,No,Application,Development,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-ad6193f2 (AWORDVPLMAPP07),AWORDVPLMAPP07,AlwaysOn,No,Application,Development,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-956193ca (AWORDVPLMAPP08),AWORDVPLMAPP08,AlwaysOn,No,Application,Development,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-dcec3f83 (AWORDVPLMAPP09),AWORDVPLMAPP09,AlwaysOn,No,Application,Development,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-b835312d (AWORDVPLMAPP10),AWORDVPLMAPP10,AlwaysOn,No,Application,Development,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-4692add3 (AWORINPLMAPP01),AWORINPLMAPP01,AlwaysOn,No,Application,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-828d4a2d (AWORINPLMAPP02),AWORINPLMAPP02,AlwaysOn,No,Application,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-2191aeb4 (AWORINPLMAPP03),AWORINPLMAPP03,AlwaysOn,No,Application,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-2c8d4a83 (AWORINPLMAPP04),AWORINPLMAPP04,AlwaysOn,No,Application,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-1a8fb08f (AWORINPLMAPP05),AWORINPLMAPP05,AlwaysOn,No,Application,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-ca894e65 (AWORINPLMAPP06),AWORINPLMAPP06,AlwaysOn,No,Application,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-9e6d5386 (AWORINPLMFIL01),AWORINPLMFIL01,AlwaysOn,No,Application,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,No,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-5a81becf (AWORINPLMTRA01),AWORINPLMTRA01,AlwaysOn,No,Application,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-109e59bf (AWORINPLMTRA02),AWORINPLMTRA02,AlwaysOn,No,Application,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-c07c4255 (AWORINPLMTRA03),AWORINPLMTRA03,AlwaysOn,No,Application,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-948bb401 (AWORINPLMWEB01),AWORINPLMWEB01,AlwaysOn,No,Web,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
i-199750b6 (AWORINPLMWEB02),AWORINPLMWEB02,AlwaysOn,No,Web,Integration,PLM|Teamcenter|Ignite,Email,PLM|Teamcenter|Ignite,Yes,Vivek Ratnaswamy | Rajesh Pudota,Yes
